# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
#
# Per-crop sowing rates (kg of seed planted per hectare per growing cycle).
# Used in build_model/crops.py to deduct a "seed share" from crop_production
# link efficiency: post-seed yield = yield * (1 - seed_kg_per_ha/1000 / yield_t_per_ha).
# Country-specific yields therefore generate country-specific seed shares
# (low-yield countries reserve a higher fraction). The deduction is
# intentionally separate from FLW / consumption-side accounting.
#
# Validation: workflow/validation/seed_rates.py requires every crop in
# config["crops"] to have a row here. There is no fallback default in
# build_model.
#
# Conventions:
#  - Annual rate: for multi-year crops (alfalfa, sugarcane) the value is
#    AMORTIZED over typical stand life so it can be deducted yearly without
#    over-counting (alfalfa: 22 kg/ha establishment / ~5 yr stand ~= 4;
#    sugarcane: 6000 kg/ha fresh planting / ~4 yr ratoon cycle ~= 1500).
#  - Vegetatively propagated crops (cassava, sweet-potato, banana) record 0:
#    FAOSTAT does not book the planting material as Seed because cuttings
#    come from above-ground biomass, not harvested production.
#  - Perennials with no annual seed reservation (oil-palm, olive, mango,
#    citrus, coconut, cocoa, coffee, tea) record 0.
#  - 'gram' is identical to 'chickpea' (same crop in Indian English).
#  - Where no credible citation could be found the source begins with
#    "ASSUMED" and explains the analogy used; the url column is empty.
#
crop,seed_kg_per_ha,source,url
tomato,0.4,"AVRDC Raising Healthy Tomato Seedlings; 400 g/ha for nursery-transplant (dominant global practice).",https://avrdc.org/download/publications/from_the_field/technol/Tomato-Seedlings_web.pdf
carrot,4,"Stark Ayres Carrot Production Guideline; direct-sown 3-5 kg/ha.",https://www.starkeayres.com/uploads/files/Carrot-Production-Guideline-2019.pdf
onion,6,"NHRDF Onion Agro Techniques; direct-sown 5-8 kg/ha; nursery raise ~3.",http://www.nhrdf.org/pAgroTechniques_o.php
cabbage,0.5,"Stark Ayres Cabbage Production Guideline; 250-400 g/ha for nursery-transplant.",https://www.starkeayres.com/uploads/files/Cabbage-Production-Guideline-2019.pdf
banana,0,"Vegetatively propagated (suckers/tissue-culture); not booked annually as Seed.",
watermelon,2,"Texas A&M seeded watermelon crop guide; 1-3 lb/acre seeding rate converted to ~1.1-3.4 kg/ha, chose midpoint.",https://aggie-horticulture.tamu.edu/vegetable/watermelon/seeded-watermelon-crop-guide/
mango,0,"Perennial tree crop; no annual seed reservation booked in FAOSTAT.",
citrus,0,"Perennial; no annual seed reservation booked in FAOSTAT.",
apple,0,"Perennial tree crop (grafted onto rootstock); no annual seed reservation booked in FAOSTAT.",
coconut,0,"Perennial; no annual seed reservation booked in FAOSTAT.",
sunflower,4,"Nuseed Sunflower Seeding Rates; hybrid oilseed 3.3-4.4 kg/ha.",https://nuseed.com/us/planting-seeding-rates/
rapeseed,6,"Canola Council of Canada Seeding Rate; range 4-8 kg/ha.",https://www.canolacouncil.org/canola-encyclopedia/plant-establishment/seeding-rate/
groundnut,130,"ARC-GCI Groundnut Production: A Concise Guide (Cilliers); kernel 80-110 -> in-shell ~130 (shelling % ~0.7).",https://www.arc.agric.za/arc-gci/Fact%20Sheets%20Library/Groundnut%20Production.pdf
sesame,5,"ICAR-IIOR Sesame PoP; drilled 4-6 kg/ha.",https://icar-iior.org.in/sites/default/files/iiorcontent/pops/sesame.pdf
oil-palm,0,"Perennial; no annual seed reservation booked in FAOSTAT.",
olive,0,"Perennial; no annual seed reservation booked in FAOSTAT.",
sugarcane,1500,"TNAU eAgri AGR301 Lec15 Sugarcane; 6 t/ha per fresh planting amortized over ~4-yr ratoon cycle ~= 1500 kg/ha/yr.",http://eagri.org/eagri50/AGRO301/lec15.html
sugarbeet,3,"NDSU 2022 Sugarbeet Production Guide A1698; modern monogerm pelleted 1-3 kg/ha; chose top of range as bag-mass.",https://www.ndsu.edu/agriculture/sites/default/files/2022-01/a1698.pdf
cocoa,0,"Perennial; no annual seed reservation booked in FAOSTAT.",
coffee,0,"Perennial; no annual seed reservation booked in FAOSTAT.",
tea,0,"Perennial; no annual seed reservation booked in FAOSTAT.",
alfalfa,4,"Wisconsin Extension Determining the Optimum Alfalfa Seeding Rate; 22 kg/ha establishment amortized over ~5-yr stand life ~= 4 kg/ha/yr.",https://fyi.extension.wisc.edu/forage/determining-the-optimum-alfalfa-seeding-rate/
cotton,22,"TNAU Irrigated Cotton Crop Geometry & Seed Rate; fuzzy-seed 20-25 kg/ha (delinted seed lower 3-7).",http://www.agritech.tnau.ac.in/agriculture/agri_cotton_Crop%20geometry_Seed%20Rate.html
biomass-sorghum,12,"ASSUMED 20% above grain sorghum by analogy (forage/biomass cultivars seeded heavier for thinner-stand uniformity); only one trial paper found, no solid global review.",
silage-maize,25,"UMN Extension Strategies to Optimize Corn Silage Production; silage corn target population ~83-88k plants/ha (10-15% above grain maize at same TKW).",https://extension.umn.edu/corn-planting/strategies-optimize-corn-silage-production
plantain,0,"Vegetatively propagated from corms or suckers; not booked annually as Seed (analogous to banana).",
